external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,subject_active_base_count,subject_required_reuse_ceiling,exact_donor_index,donor_volume,donor_h5_file
BraTS20_Validation_001,1,8,flair,3165,833,1,34,3,216,4,volume_4_slice_112.h5
BraTS20_Validation_001,1,7,flair,2831,518,1,34,3,502,11,volume_11_slice_79.h5
BraTS20_Validation_001,1,6,flair,2395,255,1,34,3,500,11,volume_11_slice_77.h5
BraTS20_Validation_001,1,5,flair,2047,118,1,34,3,2101,41,volume_41_slice_95.h5
BraTS20_Validation_001,1,4,flair,1635,41,1,34,3,3309,68,volume_68_slice_93.h5
BraTS20_Validation_001,1,60,flair,16872,17761,2,34,3,195,4,volume_4_slice_91.h5
BraTS20_Validation_001,1,59,flair,16730,17757,2,34,3,928,19,volume_19_slice_58.h5
BraTS20_Validation_001,1,58,flair,16626,17724,2,34,3,116,2,volume_2_slice_74.h5
BraTS20_Validation_001,1,57,flair,16391,17609,2,34,3,13773,286,volume_286_slice_102.h5
BraTS20_Validation_001,1,56,flair,16202,17487,2,34,3,13416,280,volume_280_slice_80.h5
BraTS20_Validation_001,1,55,flair,15946,17285,2,34,3,15734,324,volume_324_slice_44.h5
BraTS20_Validation_001,1,54,flair,15744,16794,2,34,3,612,14,volume_14_slice_34.h5
BraTS20_Validation_001,1,53,flair,15511,16035,2,34,3,14464,299,volume_299_slice_67.h5
BraTS20_Validation_001,1,52,flair,15264,15463,2,34,3,961,20,volume_20_slice_32.h5
BraTS20_Validation_001,1,51,flair,15041,15253,2,34,3,13842,288,volume_288_slice_59.h5
BraTS20_Validation_001,1,50,flair,14860,14982,2,34,3,14259,294,volume_294_slice_75.h5
BraTS20_Validation_001,1,43,flair,13016,13679,2,34,3,1801,37,volume_37_slice_41.h5
BraTS20_Validation_001,1,25,flair,6927,3573,2,34,3,11629,242,volume_242_slice_29.h5
BraTS20_Validation_001,1,24,flair,6659,3446,2,34,3,10411,218,volume_218_slice_35.h5
BraTS20_Validation_001,1,23,flair,6442,3368,2,34,3,488,11,volume_11_slice_65.h5
BraTS20_Validation_001,1,22,flair,6186,3302,2,34,3,1101,23,volume_23_slice_112.h5
BraTS20_Validation_001,1,21,flair,5798,3180,2,34,3,4298,90,volume_90_slice_89.h5
BraTS20_Validation_001,1,20,flair,5572,3110,2,34,3,2081,41,volume_41_slice_75.h5
BraTS20_Validation_001,1,19,flair,5310,2993,2,34,3,4917,108,volume_108_slice_52.h5
BraTS20_Validation_001,1,18,flair,5122,2849,2,34,3,1946,39,volume_39_slice_79.h5
BraTS20_Validation_001,1,17,flair,4986,2701,2,34,3,10192,213,volume_213_slice_37.h5
BraTS20_Validation_001,1,16,flair,4775,2488,2,34,3,10360,216,volume_216_slice_87.h5
BraTS20_Validation_001,1,15,flair,4627,2352,2,34,3,492,11,volume_11_slice_69.h5
BraTS20_Validation_001,1,14,flair,4483,2209,2,34,3,217,4,volume_4_slice_113.h5
BraTS20_Validation_001,1,13,flair,4350,2073,2,34,3,3258,67,volume_67_slice_116.h5
BraTS20_Validation_001,1,12,flair,4152,1911,2,34,3,486,11,volume_11_slice_63.h5
BraTS20_Validation_001,1,11,flair,3924,1661,2,34,3,162,4,volume_4_slice_58.h5
BraTS20_Validation_001,1,10,flair,3720,1450,2,34,3,871,18,volume_18_slice_63.h5
BraTS20_Validation_001,1,9,flair,3460,1176,2,34,3,889,18,volume_18_slice_81.h5
BraTS20_Validation_001,1,8,flair,3165,833,2,34,3,2113,42,volume_42_slice_72.h5
BraTS20_Validation_001,1,7,flair,2831,518,2,34,3,495,11,volume_11_slice_72.h5
BraTS20_Validation_001,1,6,flair,2395,255,2,34,3,219,4,volume_4_slice_115.h5
BraTS20_Validation_001,1,5,flair,2047,118,2,34,3,2102,41,volume_41_slice_96.h5
BraTS20_Validation_001,1,4,flair,1635,41,2,34,3,1385,28,volume_28_slice_63.h5
BraTS20_Validation_001,1,60,flair,16872,17761,3,34,3,656,14,volume_14_slice_78.h5
BraTS20_Validation_001,1,59,flair,16730,17757,3,34,3,398,9,volume_9_slice_73.h5
BraTS20_Validation_001,1,58,flair,16626,17724,3,34,3,15447,318,volume_318_slice_96.h5
BraTS20_Validation_001,1,57,flair,16391,17609,3,34,3,96,2,volume_2_slice_54.h5
BraTS20_Validation_001,1,56,flair,16202,17487,3,34,3,857,17,volume_17_slice_105.h5
BraTS20_Validation_001,1,55,flair,15946,17285,3,34,3,734,16,volume_16_slice_64.h5
BraTS20_Validation_001,1,54,flair,15744,16794,3,34,3,16435,338,volume_338_slice_59.h5
BraTS20_Validation_001,1,53,flair,15511,16035,3,34,3,261,6,volume_6_slice_70.h5
BraTS20_Validation_001,1,52,flair,15264,15463,3,34,3,15065,311,volume_311_slice_96.h5
BraTS20_Validation_001,1,51,flair,15041,15253,3,34,3,15376,317,volume_317_slice_73.h5
BraTS20_Validation_001,1,50,flair,14860,14982,3,34,3,15673,323,volume_323_slice_52.h5
BraTS20_Validation_001,1,43,flair,13016,13679,3,34,3,1409,29,volume_29_slice_74.h5
BraTS20_Validation_002,2,56,flair,16909,17597,1,88,1,2343,47,volume_47_slice_55.h5
BraTS20_Validation_002,2,55,flair,16602,17438,1,88,1,16119,332,volume_332_slice_89.h5
BraTS20_Validation_002,2,54,flair,16516,17364,1,88,1,14420,298,volume_298_slice_61.h5
BraTS20_Validation_002,2,53,flair,16354,17212,1,88,1,16248,334,volume_334_slice_57.h5
BraTS20_Validation_002,2,52,flair,16096,16958,1,88,1,259,6,volume_6_slice_68.h5
BraTS20_Validation_002,2,51,flair,15962,16563,1,88,1,550,12,volume_12_slice_64.h5
BraTS20_Validation_002,2,50,flair,15936,16211,1,88,1,16139,332,volume_332_slice_109.h5
BraTS20_Validation_002,2,49,flair,15675,15412,1,88,1,17479,360,volume_360_slice_125.h5
BraTS20_Validation_002,2,48,flair,15428,14943,1,88,1,66,1,volume_1_slice_100.h5
BraTS20_Validation_002,2,106,flair,13143,14839,1,88,1,987,20,volume_20_slice_58.h5
BraTS20_Validation_002,2,47,flair,15177,14571,1,88,1,546,12,volume_12_slice_60.h5
BraTS20_Validation_002,2,107,flair,12865,14341,1,88,1,14923,308,volume_308_slice_126.h5
BraTS20_Validation_002,2,46,flair,15022,14249,1,88,1,233,5,volume_5_slice_98.h5
BraTS20_Validation_002,2,35,flair,14335,14231,1,88,1,15498,319,volume_319_slice_82.h5
BraTS20_Validation_002,2,37,flair,14509,14231,1,88,1,15649,322,volume_322_slice_73.h5
BraTS20_Validation_002,2,36,flair,14408,14230,1,88,1,17681,365,volume_365_slice_77.h5
BraTS20_Validation_002,2,34,flair,14228,14214,1,88,1,12872,268,volume_268_slice_44.h5
BraTS20_Validation_002,2,40,flair,14749,14181,1,88,1,13832,288,volume_288_slice_49.h5
BraTS20_Validation_002,2,45,flair,14910,14178,1,88,1,113,2,volume_2_slice_71.h5
BraTS20_Validation_002,2,38,flair,14539,14157,1,88,1,347,7,volume_7_slice_66.h5
BraTS20_Validation_002,2,39,flair,14648,14135,1,88,1,15954,328,volume_328_slice_47.h5
BraTS20_Validation_002,2,43,flair,14851,14104,1,88,1,1408,29,volume_29_slice_73.h5
BraTS20_Validation_002,2,44,flair,14836,14074,1,88,1,15637,322,volume_322_slice_61.h5
BraTS20_Validation_002,2,42,flair,14728,14071,1,88,1,85,2,volume_2_slice_43.h5
BraTS20_Validation_002,2,41,flair,14700,14061,1,88,1,16633,344,volume_344_slice_65.h5
BraTS20_Validation_002,2,33,flair,13931,14016,1,88,1,352,7,volume_7_slice_71.h5
BraTS20_Validation_002,2,108,flair,12618,13994,1,88,1,14873,308,volume_308_slice_76.h5
BraTS20_Validation_002,2,32,flair,13647,13912,1,88,1,16258,334,volume_334_slice_67.h5
BraTS20_Validation_002,2,31,flair,13307,13650,1,88,1,1775,36,volume_36_slice_77.h5
BraTS20_Validation_002,2,109,flair,12183,13269,1,88,1,2027,40,volume_40_slice_87.h5
BraTS20_Validation_002,2,110,flair,11910,13005,1,88,1,2503,51,volume_51_slice_114.h5
BraTS20_Validation_002,2,111,flair,11590,12345,1,88,1,15124,312,volume_312_slice_79.h5
BraTS20_Validation_002,2,30,flair,12786,12225,1,88,1,17558,363,volume_363_slice_65.h5
BraTS20_Validation_002,2,112,flair,11278,11638,1,88,1,260,6,volume_6_slice_69.h5
BraTS20_Validation_002,2,113,flair,10959,10974,1,88,1,16,1,volume_1_slice_50.h5
BraTS20_Validation_002,2,114,flair,10596,10361,1,88,1,14565,301,volume_301_slice_105.h5
BraTS20_Validation_002,2,29,flair,12197,10090,1,88,1,16635,344,volume_344_slice_67.h5
BraTS20_Validation_002,2,115,flair,10096,9134,1,88,1,14271,295,volume_295_slice_108.h5
BraTS20_Validation_002,2,116,flair,9797,8459,1,88,1,652,14,volume_14_slice_74.h5
BraTS20_Validation_002,2,117,flair,9481,7862,1,88,1,14507,299,volume_299_slice_110.h5
BraTS20_Validation_002,2,28,flair,11687,7870,1,88,1,15949,328,volume_328_slice_42.h5
BraTS20_Validation_002,2,118,flair,9142,7339,1,88,1,718,15,volume_15_slice_99.h5
BraTS20_Validation_002,2,27,flair,11221,6772,1,88,1,5391,119,volume_119_slice_41.h5
BraTS20_Validation_002,2,119,flair,8793,6703,1,88,1,14909,308,volume_308_slice_112.h5
BraTS20_Validation_002,2,26,flair,10819,6285,1,88,1,13306,277,volume_277_slice_66.h5
BraTS20_Validation_002,2,120,flair,8469,5985,1,88,1,15052,310,volume_310_slice_89.h5
BraTS20_Validation_002,2,25,flair,10492,5961,1,88,1,15232,314,volume_314_slice_68.h5
BraTS20_Validation_002,2,24,flair,10195,5729,1,88,1,201,4,volume_4_slice_97.h5
BraTS20_Validation_002,2,23,flair,9860,5638,1,88,1,77,2,volume_2_slice_35.h5
BraTS20_Validation_002,2,121,flair,8160,5553,1,88,1,15740,324,volume_324_slice_50.h5
BraTS20_Validation_002,2,22,flair,9436,5367,1,88,1,80,2,volume_2_slice_38.h5
BraTS20_Validation_002,2,122,flair,7923,5221,1,88,1,59,1,volume_1_slice_93.h5
BraTS20_Validation_002,2,21,flair,9016,5197,1,88,1,12476,257,volume_257_slice_74.h5
BraTS20_Validation_002,2,20,flair,8586,5035,1,88,1,7281,157,volume_157_slice_130.h5
BraTS20_Validation_002,2,19,flair,8242,5008,1,88,1,15258,314,volume_314_slice_94.h5
BraTS20_Validation_002,2,18,flair,7654,4869,1,88,1,15245,314,volume_314_slice_81.h5
BraTS20_Validation_002,2,17,flair,7189,4752,1,88,1,17663,365,volume_365_slice_59.h5
BraTS20_Validation_002,2,16,flair,6765,4675,1,88,1,15244,314,volume_314_slice_80.h5
BraTS20_Validation_002,2,15,flair,6675,4606,1,88,1,15247,314,volume_314_slice_83.h5
BraTS20_Validation_002,2,123,flair,7564,4529,1,88,1,14853,307,volume_307_slice_98.h5
BraTS20_Validation_002,2,14,flair,6497,4506,1,88,1,11075,233,volume_233_slice_84.h5
BraTS20_Validation_002,2,13,flair,6337,4390,1,88,1,4553,99,volume_99_slice_52.h5
BraTS20_Validation_002,2,12,flair,6243,4273,1,88,1,16174,333,volume_333_slice_71.h5
BraTS20_Validation_002,2,11,flair,6098,4094,1,88,1,843,17,volume_17_slice_91.h5
BraTS20_Validation_002,2,124,flair,7122,3906,1,88,1,15305,316,volume_316_slice_59.h5
BraTS20_Validation_002,2,10,flair,5972,3922,1,88,1,7914,168,volume_168_slice_108.h5
BraTS20_Validation_002,2,9,flair,5845,3777,1,88,1,173,4,volume_4_slice_69.h5
BraTS20_Validation_002,2,125,flair,6667,3367,1,88,1,16474,338,volume_338_slice_98.h5
BraTS20_Validation_002,2,7,flair,5461,3290,1,88,1,477,11,volume_11_slice_54.h5
BraTS20_Validation_002,2,6,flair,5285,3077,1,88,1,2620,54,volume_54_slice_75.h5
BraTS20_Validation_002,2,5,flair,5092,2919,1,88,1,2759,57,volume_57_slice_83.h5
BraTS20_Validation_002,2,126,flair,6228,2816,1,88,1,14416,298,volume_298_slice_57.h5
BraTS20_Validation_002,2,4,flair,4879,2709,1,88,1,12238,253,volume_253_slice_65.h5
BraTS20_Validation_002,2,3,flair,4705,2522,1,88,1,17168,354,volume_354_slice_109.h5
BraTS20_Validation_002,2,127,flair,5766,2318,1,88,1,72,1,volume_1_slice_106.h5
BraTS20_Validation_002,2,2,flair,4437,2227,1,88,1,211,4,volume_4_slice_107.h5
BraTS20_Validation_002,2,1,flair,4188,1990,1,88,1,250,5,volume_5_slice_115.h5
BraTS20_Validation_002,2,128,flair,5346,1932,1,88,1,7030,152,volume_152_slice_120.h5
BraTS20_Validation_003,3,81,flair,15816,17763,1,80,1,15490,319,volume_319_slice_74.h5
BraTS20_Validation_003,3,83,flair,15753,17761,1,80,1,16540,341,volume_341_slice_57.h5
BraTS20_Validation_003,3,80,flair,15845,17759,1,80,1,15512,319,volume_319_slice_96.h5
BraTS20_Validation_003,3,82,flair,15782,17757,1,80,1,322,7,volume_7_slice_41.h5
BraTS20_Validation_003,3,84,flair,15721,17756,1,80,1,15302,316,volume_316_slice_56.h5
BraTS20_Validation_003,3,79,flair,15828,17751,1,80,1,15461,318,volume_318_slice_110.h5
BraTS20_Validation_003,3,78,flair,15784,17740,1,80,1,265,6,volume_6_slice_74.h5
BraTS20_Validation_003,3,77,flair,15807,17732,1,80,1,49,1,volume_1_slice_83.h5
BraTS20_Validation_003,3,76,flair,15764,17724,1,80,1,14551,301,volume_301_slice_91.h5
BraTS20_Validation_003,3,75,flair,15764,17720,1,80,1,45,1,volume_1_slice_79.h5
BraTS20_Validation_003,3,74,flair,15739,17716,1,80,1,61,1,volume_1_slice_95.h5
BraTS20_Validation_003,3,73,flair,15688,17700,1,80,1,346,7,volume_7_slice_65.h5
BraTS20_Validation_003,3,72,flair,15596,17664,1,80,1,1286,26,volume_26_slice_90.h5
BraTS20_Validation_003,3,71,flair,15473,17629,1,80,1,926,19,volume_19_slice_56.h5
BraTS20_Validation_003,3,70,flair,15371,17604,1,80,1,14342,296,volume_296_slice_84.h5
BraTS20_Validation_003,3,69,flair,15329,17596,1,80,1,15501,319,volume_319_slice_85.h5
BraTS20_Validation_003,3,67,flair,15087,17514,1,80,1,308,6,volume_6_slice_117.h5
BraTS20_Validation_003,3,66,flair,14952,17394,1,80,1,15235,314,volume_314_slice_71.h5
BraTS20_Validation_003,3,65,flair,14835,17331,1,80,1,37,1,volume_1_slice_71.h5
BraTS20_Validation_003,3,64,flair,14756,17281,1,80,1,395,9,volume_9_slice_70.h5
BraTS20_Validation_003,3,63,flair,14648,17166,1,80,1,13795,287,volume_287_slice_102.h5
BraTS20_Validation_003,3,62,flair,14513,17018,1,80,1,99,2,volume_2_slice_57.h5
BraTS20_Validation_003,3,61,flair,14372,16823,1,80,1,342,7,volume_7_slice_61.h5
BraTS20_Validation_003,3,60,flair,14231,16620,1,80,1,14308,296,volume_296_slice_50.h5
BraTS20_Validation_003,3,59,flair,14151,16477,1,80,1,2657,55,volume_55_slice_52.h5
BraTS20_Validation_003,3,58,flair,14060,16341,1,80,1,40,1,volume_1_slice_74.h5
BraTS20_Validation_003,3,57,flair,13949,16180,1,80,1,14477,299,volume_299_slice_80.h5
BraTS20_Validation_003,3,56,flair,13768,15899,1,80,1,1845,37,volume_37_slice_85.h5
BraTS20_Validation_003,3,55,flair,13578,15646,1,80,1,700,15,volume_15_slice_81.h5
BraTS20_Validation_003,3,54,flair,13287,15174,1,80,1,1343,27,volume_27_slice_81.h5
BraTS20_Validation_003,3,53,flair,12832,14397,1,80,1,929,19,volume_19_slice_59.h5
BraTS20_Validation_003,3,52,flair,12502,13874,1,80,1,15273,315,volume_315_slice_97.h5
BraTS20_Validation_003,3,51,flair,12376,13764,1,80,1,16560,343,volume_343_slice_44.h5
BraTS20_Validation_003,3,50,flair,12205,13610,1,80,1,48,1,volume_1_slice_82.h5
BraTS20_Validation_003,3,49,flair,12115,13504,1,80,1,1790,36,volume_36_slice_92.h5
BraTS20_Validation_003,3,48,flair,12015,13421,1,80,1,858,17,volume_17_slice_106.h5
BraTS20_Validation_003,3,47,flair,11842,13358,1,80,1,449,10,volume_10_slice_92.h5
BraTS20_Validation_003,3,46,flair,11771,13332,1,80,1,16559,343,volume_343_slice_43.h5
BraTS20_Validation_003,3,45,flair,11669,13245,1,80,1,710,15,volume_15_slice_91.h5
BraTS20_Validation_003,3,44,flair,11574,13168,1,80,1,2690,55,volume_55_slice_85.h5
BraTS20_Validation_003,3,42,flair,11081,12578,1,80,1,14725,304,volume_304_slice_61.h5
BraTS20_Validation_003,3,41,flair,10856,12264,1,80,1,15491,319,volume_319_slice_75.h5
BraTS20_Validation_003,3,40,flair,10457,11300,1,80,1,17304,357,volume_357_slice_92.h5
BraTS20_Validation_003,3,39,flair,10045,10265,1,80,1,15488,319,volume_319_slice_72.h5
BraTS20_Validation_003,3,38,flair,9519,9039,1,80,1,16062,329,volume_329_slice_64.h5
BraTS20_Validation_003,3,37,flair,9004,7121,1,80,1,15003,310,volume_310_slice_40.h5
BraTS20_Validation_003,3,36,flair,8551,5764,1,80,1,17347,358,volume_358_slice_70.h5
BraTS20_Validation_003,3,35,flair,8126,4741,1,80,1,13217,275,volume_275_slice_34.h5
BraTS20_Validation_003,3,34,flair,7798,4299,1,80,1,10795,225,volume_225_slice_120.h5
BraTS20_Validation_003,3,33,flair,7391,4017,1,80,1,5085,113,volume_113_slice_100.h5
BraTS20_Validation_003,3,32,flair,7063,3812,1,80,1,787,16,volume_16_slice_117.h5
BraTS20_Validation_003,3,31,flair,6691,3623,1,80,1,4415,96,volume_96_slice_91.h5
BraTS20_Validation_003,3,30,flair,6363,3506,1,80,1,11790,244,volume_244_slice_98.h5
BraTS20_Validation_003,3,29,flair,6106,3464,1,80,1,8931,188,volume_188_slice_52.h5
BraTS20_Validation_003,3,28,flair,5865,3339,1,80,1,1169,24,volume_24_slice_99.h5
BraTS20_Validation_003,3,27,flair,5719,3217,1,80,1,10626,221,volume_221_slice_95.h5
BraTS20_Validation_003,3,26,flair,5486,3113,1,80,1,1868,38,volume_38_slice_63.h5
BraTS20_Validation_003,3,25,flair,5418,3035,1,80,1,423,9,volume_9_slice_98.h5
BraTS20_Validation_003,3,24,flair,5239,2836,1,80,1,11958,247,volume_247_slice_71.h5
BraTS20_Validation_003,3,23,flair,5138,2723,1,80,1,894,18,volume_18_slice_86.h5
BraTS20_Validation_003,3,22,flair,4984,2545,1,80,1,863,18,volume_18_slice_55.h5
BraTS20_Validation_003,3,21,flair,4830,2376,1,80,1,248,5,volume_5_slice_113.h5
BraTS20_Validation_003,3,20,flair,4692,2263,1,80,1,1104,23,volume_23_slice_115.h5
BraTS20_Validation_003,3,19,flair,4516,2083,1,80,1,1559,31,volume_31_slice_114.h5
BraTS20_Validation_003,3,18,flair,4340,1924,1,80,1,2626,54,volume_54_slice_81.h5
BraTS20_Validation_003,3,17,flair,4190,1782,1,80,1,5789,129,volume_129_slice_78.h5
BraTS20_Validation_003,3,16,flair,4008,1613,1,80,1,2138,42,volume_42_slice_97.h5
BraTS20_Validation_003,3,15,flair,3867,1497,1,80,1,2725,56,volume_56_slice_100.h5
BraTS20_Validation_003,3,14,flair,3674,1327,1,80,1,13335,279,volume_279_slice_61.h5
BraTS20_Validation_003,3,13,flair,3448,1115,1,80,1,879,18,volume_18_slice_71.h5
BraTS20_Validation_003,3,12,flair,3233,891,1,80,1,891,18,volume_18_slice_83.h5
BraTS20_Validation_003,3,11,flair,3009,711,1,80,1,890,18,volume_18_slice_82.h5
BraTS20_Validation_003,3,10,flair,2783,573,1,80,1,900,18,volume_18_slice_92.h5
BraTS20_Validation_003,3,9,flair,2545,379,1,80,1,793,16,volume_16_slice_123.h5
BraTS20_Validation_003,3,8,flair,2356,248,1,80,1,4123,85,volume_85_slice_121.h5
BraTS20_Validation_003,3,7,flair,2021,107,1,80,1,2099,41,volume_41_slice_93.h5
BraTS20_Validation_003,3,6,flair,1811,56,1,80,1,902,18,volume_18_slice_94.h5
BraTS20_Validation_003,3,5,flair,1500,12,1,80,1,2704,56,volume_56_slice_79.h5
BraTS20_Validation_004,4,73,flair,17583,17757,1,66,2,13619,284,volume_284_slice_60.h5
BraTS20_Validation_004,4,72,flair,17476,17724,1,66,2,290,6,volume_6_slice_99.h5
BraTS20_Validation_004,4,70,flair,17443,17682,1,66,2,13746,286,volume_286_slice_75.h5
BraTS20_Validation_004,4,69,flair,17363,17678,1,66,2,51,1,volume_1_slice_85.h5
BraTS20_Validation_004,4,71,flair,17496,17675,1,66,2,13755,286,volume_286_slice_84.h5
BraTS20_Validation_004,4,68,flair,17272,17598,1,66,2,15393,317,volume_317_slice_90.h5
BraTS20_Validation_004,4,67,flair,17259,17524,1,66,2,205,4,volume_4_slice_101.h5
BraTS20_Validation_004,4,66,flair,17143,17488,1,66,2,14510,299,volume_299_slice_113.h5
BraTS20_Validation_004,4,60,flair,15816,17484,1,66,2,16456,338,volume_338_slice_80.h5
BraTS20_Validation_004,4,61,flair,16144,17420,1,66,2,262,6,volume_6_slice_71.h5
BraTS20_Validation_004,4,59,flair,15590,17407,1,66,2,17737,367,volume_367_slice_54.h5
BraTS20_Validation_004,4,65,flair,16959,17283,1,66,2,686,15,volume_15_slice_67.h5
BraTS20_Validation_004,4,58,flair,15346,17189,1,66,2,445,10,volume_10_slice_88.h5
BraTS20_Validation_004,4,64,flair,16725,17052,1,66,2,17012,351,volume_351_slice_88.h5
BraTS20_Validation_004,4,62,flair,16309,16954,1,66,2,296,6,volume_6_slice_105.h5
BraTS20_Validation_004,4,63,flair,16474,16840,1,66,2,14445,298,volume_298_slice_86.h5
BraTS20_Validation_004,4,57,flair,15095,16868,1,66,2,833,17,volume_17_slice_81.h5
BraTS20_Validation_004,4,56,flair,14891,16533,1,66,2,564,12,volume_12_slice_78.h5
BraTS20_Validation_004,4,55,flair,14538,15788,1,66,2,15366,317,volume_317_slice_63.h5
BraTS20_Validation_004,4,54,flair,14056,14658,1,66,2,1843,37,volume_37_slice_83.h5
BraTS20_Validation_004,4,53,flair,13579,14129,1,66,2,374,9,volume_9_slice_49.h5
BraTS20_Validation_004,4,52,flair,13208,13939,1,66,2,95,2,volume_2_slice_53.h5
BraTS20_Validation_004,4,51,flair,12933,13851,1,66,2,350,7,volume_7_slice_69.h5
BraTS20_Validation_004,4,50,flair,12702,13771,1,66,2,13328,277,volume_277_slice_88.h5
BraTS20_Validation_004,4,49,flair,12511,13682,1,66,2,38,1,volume_1_slice_72.h5
BraTS20_Validation_004,4,48,flair,12363,13613,1,66,2,764,16,volume_16_slice_94.h5
BraTS20_Validation_004,4,47,flair,12190,13497,1,66,2,392,9,volume_9_slice_67.h5
BraTS20_Validation_004,4,46,flair,12050,13434,1,66,2,35,1,volume_1_slice_69.h5
BraTS20_Validation_004,4,45,flair,11820,13227,1,66,2,811,17,volume_17_slice_59.h5
BraTS20_Validation_004,4,44,flair,11609,12974,1,66,2,15942,328,volume_328_slice_35.h5
BraTS20_Validation_004,4,43,flair,11302,12527,1,66,2,4252,89,volume_89_slice_60.h5
BraTS20_Validation_004,4,42,flair,10863,11600,1,66,2,200,4,volume_4_slice_96.h5
BraTS20_Validation_004,4,40,flair,9532,6557,1,66,2,681,15,volume_15_slice_62.h5
BraTS20_Validation_004,4,39,flair,8993,5158,1,66,2,16967,351,volume_351_slice_43.h5
BraTS20_Validation_004,4,38,flair,8520,4583,1,66,2,5386,119,volume_119_slice_36.h5
BraTS20_Validation_004,4,37,flair,8139,4155,1,66,2,1236,26,volume_26_slice_40.h5
BraTS20_Validation_004,4,36,flair,7815,3909,1,66,2,15610,322,volume_322_slice_34.h5
BraTS20_Validation_004,4,35,flair,7485,3718,1,66,2,8554,180,volume_180_slice_94.h5
BraTS20_Validation_004,4,34,flair,7136,3556,1,66,2,3184,66,volume_66_slice_112.h5
BraTS20_Validation_004,4,33,flair,6733,3332,1,66,2,10413,218,volume_218_slice_37.h5
BraTS20_Validation_004,4,32,flair,6383,3256,1,66,2,1885,38,volume_38_slice_80.h5
BraTS20_Validation_004,4,31,flair,6006,3106,1,66,2,13254,276,volume_276_slice_77.h5
BraTS20_Validation_004,4,30,flair,5678,3017,1,66,2,16066,329,volume_329_slice_68.h5
BraTS20_Validation_004,4,29,flair,5474,2960,1,66,2,2114,42,volume_42_slice_73.h5
BraTS20_Validation_004,4,28,flair,5232,2857,1,66,2,898,18,volume_18_slice_90.h5
BraTS20_Validation_004,4,27,flair,5025,2723,1,66,2,4273,90,volume_90_slice_64.h5
BraTS20_Validation_004,4,26,flair,4904,2626,1,66,2,464,10,volume_10_slice_107.h5
BraTS20_Validation_004,4,25,flair,4797,2516,1,66,2,1162,24,volume_24_slice_92.h5
BraTS20_Validation_004,4,24,flair,4705,2428,1,66,2,430,9,volume_9_slice_105.h5
BraTS20_Validation_004,4,23,flair,4565,2287,1,66,2,1381,28,volume_28_slice_59.h5
