slice_path,target,volume,slice,label0_pxl_cnt,label1_pxl_cnt,label2_pxl_cnt,background_ratio,whole_tumor_pixels,donor_h5_path,mask_has_margin,loaded_mask_pixels,compatible_external_base_count,tumor_area_pixels,tumor_area_fraction,bbox_y_min,bbox_y_max,bbox_x_min,bbox_x_max,bbox_height,bbox_width,bbox_area,bbox_fill_fraction,centroid_y,centroid_x,centroid_y_normalized,centroid_x_normalized,centroid_laterality,connected_component_count,largest_component_pixels,largest_component_fraction
volume_1_slice_49.h5,1,1,49,315,1111,548,0.9657291666666666,1974,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_49.h5,True,1974,3299,1974,0.0342708333333333,59,119,85,155,61,71,4331,0.4557838836296467,86.11752786220872,115.27051671732522,0.3603243843607059,0.4823034172273022,midline,4,1913,0.969098277608916
volume_1_slice_50.h5,1,1,50,362,1072,741,0.9622395833333334,2175,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_50.h5,True,2175,3292,2175,0.0377604166666666,59,119,85,155,61,71,4331,0.5021934888016625,86.67770114942529,116.8096551724138,0.3626682056461309,0.4887433270812293,midline,4,2088,0.96
volume_1_slice_51.h5,1,1,51,381,968,891,0.9611111111111112,2240,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_51.h5,True,2240,3281,2240,0.0388888888888888,59,117,86,155,59,70,4130,0.5423728813559322,86.93482142857142,117.26116071428572,0.363744022713688,0.49063247160789,midline,3,2150,0.9598214285714286
volume_1_slice_52.h5,1,1,52,368,955,1005,0.9595833333333332,2328,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_52.h5,True,2328,3275,2328,0.0404166666666666,59,129,86,155,71,70,4970,0.46841046277666,87.42225085910653,117.72852233676976,0.3657834763979352,0.4925879595680743,midline,5,2215,0.9514604810996564
volume_1_slice_53.h5,1,1,53,369,1091,1085,0.9558159722222224,2545,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_53.h5,True,2545,3302,2545,0.0441840277777777,59,129,86,157,71,72,5112,0.497848200312989,88.64047151277013,119.41021611001965,0.3708806339446449,0.4996243351883667,midline,5,2422,0.9516699410609036
volume_1_slice_54.h5,1,1,54,391,1335,1133,0.9503645833333332,2859,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_54.h5,True,2859,3164,2859,0.0496354166666666,57,141,86,159,85,74,6290,0.4545310015898251,87.83036026582721,120.99300454704442,0.3674910471373523,0.5062468809499766,midline,5,2731,0.9552291010842952
volume_1_slice_55.h5,1,1,55,444,1408,1140,0.9480555555555557,2992,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_55.h5,True,2992,3122,2992,0.0519444444444444,55,125,87,159,71,73,5183,0.5772718502797608,87.82386363636364,121.71524064171123,0.3674638645872956,0.509268789295863,midline,3,2839,0.9488636363636364
volume_1_slice_56.h5,1,1,56,494,1439,1137,0.9467013888888888,3070,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_56.h5,True,3070,3107,3070,0.0532986111111111,54,125,87,161,72,75,5400,0.5685185185185185,87.54885993485343,122.56742671009772,0.3663132214847424,0.512834421381162,midline,4,2896,0.9433224755700326
volume_1_slice_57.h5,1,1,57,551,1475,1112,0.9455208333333334,3138,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_57.h5,True,3138,3108,3138,0.0544791666666666,54,125,88,162,72,75,5400,0.5811111111111111,87.58763543658381,123.09783301465902,0.3664754620777565,0.5150536946220042,midline,4,2953,0.9410452517527088
volume_1_slice_58.h5,1,1,58,618,1563,1091,0.9431944444444444,3272,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_58.h5,True,3272,3096,3272,0.0568055555555555,53,134,88,162,82,75,6150,0.5320325203252032,88.40617359413203,123.45721271393644,0.3699003079252386,0.516557375372119,midline,3,3199,0.9776894865525672
volume_1_slice_59.h5,1,1,59,708,1929,1007,0.9367361111111112,3644,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_59.h5,True,3644,3001,3644,0.0632638888888888,53,137,88,167,85,80,6800,0.5358823529411765,89.7821075740944,123.56503841931944,0.3756573538665037,0.5170085289511274,midline,4,3632,0.9967069154774972
volume_1_slice_60.h5,1,1,60,766,2215,925,0.9321875,3906,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_60.h5,True,3906,2849,3906,0.0678125,53,137,89,168,85,80,6800,0.5744117647058824,89.11674347158218,124.59651817716332,0.3728734036467874,0.5213243438375035,midline,4,3880,0.9933435739887352
volume_1_slice_61.h5,1,1,61,768,2382,918,0.929375,4068,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_61.h5,True,4068,2738,4068,0.070625,52,137,89,169,86,81,6966,0.5839793281653747,88.80137659783678,124.85521140609636,0.3715538769783965,0.522406742284922,midline,3,4065,0.9992625368731564
volume_1_slice_62.h5,1,1,62,758,2508,920,0.9273263888888889,4186,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_62.h5,True,4186,2675,4186,0.0726736111111111,51,137,89,170,87,82,7134,0.5867675918138492,89.42713807931199,124.68944099378882,0.3741721258548618,0.521713142233426,midline,1,4186,1.0
volume_1_slice_63.h5,1,1,63,743,2625,912,0.9256944444444444,4280,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_63.h5,True,4280,2663,4280,0.0743055555555555,51,136,89,170,86,82,7052,0.606920022688599,90.25420560747664,124.63668224299066,0.3776326594455089,0.5214923943221367,midline,3,4265,0.9964953271028038
volume_1_slice_64.h5,1,1,64,749,2974,865,0.9203472222222222,4588,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_64.h5,True,4588,2705,4588,0.0796527777777777,51,136,87,175,86,89,7654,0.5994251371831723,91.37358326068004,125.42763731473408,0.3823162479526361,0.5248018297687619,midline,4,4459,0.9718831734960768
volume_1_slice_65.h5,1,1,65,714,3274,857,0.9158854166666668,4845,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_65.h5,True,4845,2755,4845,0.0841145833333333,51,136,85,182,86,98,8428,0.5748694826767916,91.5562435500516,126.93931888544893,0.3830805169458226,0.5311268572612925,midline,3,4841,0.9991744066047472
volume_1_slice_66.h5,1,1,66,680,3496,854,0.9126736111111112,5030,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_66.h5,True,5030,2700,5030,0.0873263888888888,51,136,82,183,86,102,8772,0.5734154126766986,92.31669980119284,126.51988071570575,0.3862623422644052,0.5293718858397731,midline,1,5030,1.0
volume_1_slice_67.h5,1,1,67,634,3568,846,0.9123611111111112,5048,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_67.h5,True,5048,2691,5048,0.0876388888888888,51,136,81,184,86,104,8944,0.5644007155635062,92.79893026941365,126.08221077654515,0.3882800429682578,0.5275406308642058,midline,3,5034,0.9972266244057052
volume_1_slice_68.h5,1,1,68,566,3647,827,0.9125,5040,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_68.h5,True,5040,2753,5040,0.0875,51,136,81,185,86,105,9030,0.5581395348837209,93.41607142857144,125.72599206349206,0.3908622235505081,0.5260501759978747,midline,2,5029,0.9978174603174604
volume_1_slice_69.h5,1,1,69,502,3723,789,0.9129513888888888,5014,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_69.h5,True,5014,2751,5014,0.0870486111111111,52,136,80,185,85,106,9010,0.5564927857935628,93.8137215795772,125.5245313123255,0.3925260317137121,0.5252072439846255,midline,1,5014,1.0
volume_1_slice_70.h5,1,1,70,461,3797,759,0.9128993055555557,5017,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_70.h5,True,5017,2777,5017,0.0871006944444444,52,136,80,185,85,106,9010,0.5568257491675915,93.80027905122584,125.50906916483954,0.3924697868252126,0.5251425488068601,midline,1,5017,1.0
volume_1_slice_71.h5,1,1,71,401,3782,738,0.9145659722222222,4921,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_71.h5,True,4921,2828,4921,0.0854340277777777,52,136,80,186,85,107,9095,0.5410665200659703,93.32290184921764,125.371672424304,0.3904723926745508,0.5245676670472971,midline,1,4921,1.0
volume_1_slice_72.h5,1,1,72,348,3820,692,0.915625,4860,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_72.h5,True,4860,2849,4860,0.084375,52,136,79,186,85,108,9180,0.5294117647058824,93.430658436214,124.30144032921812,0.3909232570552886,0.5200897084904523,midline,2,4839,0.995679012345679
volume_1_slice_73.h5,1,1,73,287,3843,631,0.91734375,4761,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_73.h5,True,4761,2916,4761,0.08265625,53,134,78,185,82,108,8856,0.5376016260162602,93.52131905061962,123.7286284394035,0.3913025901699566,0.5176930060226088,midline,3,4726,0.9926486032346146
volume_1_slice_74.h5,1,1,74,242,3787,555,0.9204166666666668,4584,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_74.h5,True,4584,2955,4584,0.0795833333333333,57,134,78,184,78,107,8346,0.5492451473759885,94.29537521815008,123.23189354275742,0.3945413189043936,0.515614617333713,midline,3,4544,0.9912739965095986
volume_1_slice_75.h5,1,1,75,143,3875,534,0.9209722222222222,4552,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_75.h5,True,4552,2939,4552,0.0790277777777777,57,134,78,184,78,107,8346,0.5454109753175174,93.99406854130052,122.99582601054482,0.3932806215117176,0.5146268870734093,midline,3,4515,0.991871704745167
volume_1_slice_76.h5,1,1,76,33,3903,564,0.921875,4500,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_76.h5,True,4500,2963,4500,0.078125,58,134,78,184,77,107,8239,0.5461827891734434,93.82822222222222,123.09044444444444,0.3925867038586704,0.515022780102278,midline,6,4444,0.9875555555555556
volume_1_slice_77.h5,1,1,77,2,3924,502,0.923125,4428,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_77.h5,True,4428,2992,4428,0.076875,58,133,78,182,76,105,7980,0.5548872180451128,93.38617886178862,123.26355013550136,0.3907371500493248,0.5157470716966585,midline,3,4391,0.9916440831074976
volume_1_slice_78.h5,1,1,78,0,4056,397,0.9226909722222222,4453,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_78.h5,True,4453,3008,4453,0.0773090277777777,58,133,77,181,76,105,7980,0.5580200501253133,92.7085111161015,123.06781944756344,0.3879017201510523,0.5149281148433617,midline,8,4406,0.9894453177633056
volume_1_slice_79.h5,1,1,79,0,3968,297,0.9259548611111112,4265,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_79.h5,True,4265,3052,4265,0.0740451388888888,58,140,77,180,83,104,8632,0.4940917516218721,93.4250879249707,122.4862837045721,0.3908999494768648,0.5124949108977912,midline,7,4209,0.9868698710433764
volume_1_slice_80.h5,1,1,80,0,4018,199,0.9267881944444444,4217,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_80.h5,True,4217,3091,4217,0.0732118055555555,58,141,77,179,84,103,8652,0.4874017568192325,93.77140147023952,122.91795115010672,0.3923489601265251,0.5143010508372666,midline,3,4151,0.9843490633151528
volume_1_slice_81.h5,1,1,81,0,4142,67,0.9269270833333332,4209,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_81.h5,True,4209,3116,4209,0.0730729166666666,58,142,77,178,85,102,8670,0.4854671280276816,94.12948443810882,123.26989783796628,0.3938472152222126,0.5157736311211978,midline,3,4118,0.9783796626277026
volume_1_slice_82.h5,1,1,82,0,4146,29,0.9275173611111112,4175,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_82.h5,True,4175,3158,4175,0.0724826388888889,58,143,77,178,86,102,8772,0.4759461924304605,94.4785628742515,123.47377245508982,0.3953077944529351,0.5166266629920075,midline,2,4061,0.9726946107784432
volume_1_slice_83.h5,1,1,83,0,4135,0,0.9282118055555556,4135,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_83.h5,True,4135,3230,4135,0.0717881944444444,59,143,77,177,85,101,8585,0.481654047757717,94.4205562273277,123.91874244256348,0.3950650888172707,0.5184884621027761,midline,3,3997,0.9666263603385732
volume_1_slice_84.h5,1,1,84,0,4183,0,0.9273784722222222,4183,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_84.h5,True,4183,3199,4183,0.0726215277777777,59,143,77,176,85,100,8500,0.4921176470588235,93.14152522113316,124.4888835763806,0.3897134946490927,0.520873989859333,midline,3,4047,0.9674874491991394
volume_1_slice_85.h5,1,1,85,0,4077,0,0.92921875,4077,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_85.h5,True,4077,3221,4077,0.07078125,58,143,78,175,86,98,8428,0.4837446606549596,92.91881285258768,125.16777041942603,0.3887816437346765,0.5237145205833725,midline,4,3920,0.9614912926171204
volume_1_slice_86.h5,1,1,86,0,3832,0,0.9334722222222224,3832,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_86.h5,True,3832,3315,3832,0.0665277777777777,58,139,78,173,82,96,7872,0.4867886178861789,93.8731732776618,126.81315240083508,0.392774783588543,0.5305989640202304,midline,4,3671,0.9579853862212944
volume_1_slice_87.h5,1,1,87,0,3797,0,0.9340798611111112,3797,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_87.h5,True,3797,3356,3797,0.0659201388888888,58,138,78,173,81,96,7776,0.4882973251028806,94.28443508032656,127.07216223334213,0.3944955442691488,0.5316826871687954,midline,2,3672,0.9670792731103502
volume_1_slice_88.h5,1,1,88,0,3765,0,0.9346354166666666,3765,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_88.h5,True,3765,3378,3765,0.0653645833333333,59,136,78,171,78,94,7332,0.5135024549918167,94.48499335989376,127.14262948207173,0.3953347002506015,0.5319775292136891,midline,2,3762,0.999203187250996
volume_1_slice_89.h5,1,1,89,0,3752,0,0.9348611111111113,3752,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_89.h5,True,3752,3412,3752,0.0651388888888888,59,137,78,171,79,94,7426,0.5052518179369782,94.54957356076758,127.54371002132196,0.3956049102960987,0.5336556904657822,midline,2,3722,0.992004264392324
volume_1_slice_90.h5,1,1,90,0,3764,0,0.9346527777777778,3764,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_90.h5,True,3764,3430,3764,0.0653472222222222,59,137,78,170,79,93,7347,0.5123179529059481,94.85892667375133,128.1942082890542,0.3968992747855704,0.5363774405399757,midline,4,3720,0.9883103081827844
volume_1_slice_91.h5,1,1,91,0,3535,0,0.9386284722222222,3535,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_91.h5,True,3535,3521,3535,0.0613715277777777,60,136,79,170,77,92,7084,0.4990118577075099,95.93889674681752,128.47128712871287,0.401417978020157,0.5375367662289242,midline,5,3505,0.9915134370579916
volume_1_slice_92.h5,1,1,92,0,3257,0,0.9434548611111112,3257,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_92.h5,True,3257,3644,3257,0.0565451388888888,62,132,80,170,71,91,6461,0.5041015322705463,97.5130488179306,128.9422781700952,0.4080043883595423,0.5395074400422393,midline,2,3255,0.999385937979736
volume_1_slice_93.h5,1,1,93,0,3164,0,0.9450694444444444,3164,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_93.h5,True,3164,3669,3164,0.0549305555555555,63,132,80,170,70,91,6370,0.4967032967032967,97.82901390644751,129.1700379266751,0.4093264180186089,0.5404604097350423,midline,1,3164,1.0
volume_1_slice_94.h5,1,1,94,0,3008,0,0.9477777777777778,3008,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_94.h5,True,3008,3704,3008,0.0522222222222222,63,132,80,170,70,91,6370,0.4722135007849293,98.43949468085108,129.3221409574468,0.411880730882222,0.5410968240897356,midline,3,2964,0.985372340425532
volume_1_slice_95.h5,1,1,95,0,2772,0,0.951875,2772,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_95.h5,True,2772,3772,2772,0.048125,64,132,81,169,69,89,6141,0.4513922813873962,98.8704906204906,129.33910533910534,0.4136840611736009,0.5411678047661311,midline,4,2716,0.9797979797979798
volume_1_slice_96.h5,1,1,96,0,2290,0,0.9602430555555556,2290,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_96.h5,True,2290,3824,2290,0.0397569444444444,64,122,81,168,59,88,5192,0.4410631741140216,97.99126637554583,129.3288209606987,0.4100052986424512,0.5411247738941368,midline,1,2290,1.0
volume_1_slice_97.h5,1,1,97,0,1815,0,0.9684895833333332,1815,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_97.h5,True,1815,4065,1815,0.0315104166666666,71,122,88,167,52,80,4160,0.4362980769230769,99.59228650137742,130.54600550964187,0.416704127620826,0.5462175962746522,midline,2,1807,0.9955922865013774
volume_1_slice_98.h5,1,1,98,0,1673,0,0.9709548611111112,1673,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_98.h5,True,1673,4124,1673,0.0290451388888888,72,122,91,166,51,76,3876,0.4316305469556243,99.82486551105798,131.62940824865512,0.4176772615525438,0.5507506621282641,right,1,1673,1.0
volume_1_slice_99.h5,1,1,99,0,1598,0,0.9722569444444444,1598,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_99.h5,True,1598,4143,1598,0.0277430555555555,72,120,92,166,49,75,3675,0.4348299319727891,99.79599499374218,131.80225281602003,0.4175564644089631,0.5514738611548955,right,1,1598,1.0
volume_1_slice_100.h5,1,1,100,0,1508,0,0.9738194444444443,1508,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_100.h5,True,1508,4144,1508,0.0261805555555555,72,118,92,165,47,74,3478,0.4335825186889017,99.85212201591511,131.32161803713527,0.417791305505921,0.5494628369754614,midline,1,1508,1.0
volume_1_slice_101.h5,1,1,101,0,1397,0,0.9757465277777778,1397,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_101.h5,True,1397,4161,1397,0.0242534722222222,73,115,93,164,43,72,3096,0.4512273901808785,99.33357193987116,130.20042949176806,0.4156216399157789,0.5447716715136739,midline,1,1397,1.0
volume_1_slice_102.h5,1,1,102,0,1211,0,0.9789756944444444,1211,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_102.h5,True,1211,4289,1211,0.0210243055555555,77,113,94,163,37,70,2590,0.4675675675675675,98.78777869529314,128.90916597853015,0.4133379861727747,0.5393688953076575,midline,1,1211,1.0
volume_1_slice_103.h5,1,1,103,0,1055,0,0.9816840277777776,1055,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_103.h5,True,1055,4341,1055,0.0183159722222222,79,113,99,161,35,63,2205,0.4784580498866213,98.26635071090048,129.80663507109006,0.4111562791251065,0.5431239961133475,midline,1,1055,1.0
volume_1_slice_104.h5,1,1,104,0,966,0,0.9832291666666668,966,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_104.h5,True,966,4347,966,0.0167708333333333,80,112,100,161,33,62,2046,0.4721407624633431,98.22360248447204,129.379917184265,0.4109774162530211,0.5413385656245397,midline,1,966,1.0
volume_1_slice_105.h5,1,1,105,0,867,0,0.9849479166666668,867,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_105.h5,True,867,4358,867,0.0150520833333333,82,111,102,160,30,59,1770,0.4898305084745762,98.68512110726644,128.04613610149943,0.4129084565157591,0.535757891638073,midline,2,847,0.9769319492502884
volume_1_slice_106.h5,1,1,106,0,780,0,0.9864583333333332,780,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_106.h5,True,780,4367,780,0.0135416666666666,83,111,104,160,29,57,1653,0.4718693284936479,98.97820512820512,127.1397435897436,0.414134749490398,0.5319654543503916,midline,2,772,0.9897435897435898
volume_1_slice_107.h5,1,1,107,0,647,0,0.9887673611111112,647,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_107.h5,True,647,4351,647,0.0112326388888888,86,110,105,150,25,46,1150,0.5626086956521739,98.80061823802164,125.19165378670787,0.4133917081088771,0.5238144509904096,midline,1,647,1.0
volume_1_slice_108.h5,1,1,108,0,418,0,0.9927430555555556,418,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_108.h5,True,418,4336,418,0.0072569444444444,87,107,108,138,21,31,651,0.642089093701997,97.80382775119617,122.98325358851676,0.4092210366158835,0.5145742827971412,midline,1,418,1.0
volume_2_slice_33.h5,1,2,33,0,315,0,0.99453125,315,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_2_slice_33.h5,True,315,3831,315,0.00546875,71,99,86,114,29,29,841,0.3745541022592152,88.19365079365079,97.36190476190475,0.3690110911868234,0.4073719864514843,left,3,311,0.9873015873015872
volume_2_slice_34.h5,1,2,34,0,425,0,0.9926215277777778,425,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_2_slice_34.h5,True,425,3733,425,0.0073784722222222,70,100,85,115,31,31,961,0.4422476586888658,87.55294117647058,97.12235294117647,0.3663302978095003,0.4063696775781442,left,4,414,0.9741176470588236
volume_2_slice_35.h5,1,2,35,0,532,0,0.9907638888888888,532,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_2_slice_35.h5,True,532,3679,532,0.0092361111111111,69,100,84,117,32,34,1088,0.4889705882352941,86.92481203007519,98.06954887218043,0.3637021423852518,0.4103328404693742,left,3,503,0.9454887218045112
