volume,total_slices,tumor_positive_slices,eligible_donor_slices,total_tumor_pixels,median_tumor_pixels,max_tumor_pixels,used_as_batch0001_donor
98,155,66,61,144026,0.0,3463,False
99,155,23,11,7513,0.0,799,True
100,155,69,61,135252,0.0,3034,True
101,155,57,47,71751,0.0,2051,True
102,155,43,27,24143,0.0,1123,True
103,155,59,46,58208,0.0,1706,True
104,155,80,72,169685,51.0,3602,False
105,155,45,29,24992,0.0,1179,True
106,155,90,65,108359,40.0,3053,False
107,155,58,41,34311,0.0,1071,False
108,155,30,23,17892,0.0,1001,False
109,155,81,70,100724,59.0,2462,False
110,155,67,25,15762,0.0,584,False
111,155,47,36,43342,0.0,1678,False
112,155,79,68,170359,25.0,4072,True
113,155,70,64,125680,0.0,2862,True
114,155,86,67,103304,91.0,2331,True
115,155,70,54,90608,0.0,2181,False
116,155,71,62,87535,0.0,2168,True
117,155,59,52,78134,0.0,2526,True
118,155,59,50,52485,0.0,1321,False
119,155,50,39,32190,0.0,1211,True
120,155,70,62,123632,0.0,3565,False
121,155,74,63,145124,0.0,3800,False
122,155,34,23,16585,0.0,850,True
123,155,70,60,137737,0.0,3343,False
124,155,69,60,175363,0.0,4495,False
125,155,67,59,151285,0.0,3529,True
126,155,59,47,38000,0.0,1148,False
127,155,52,41,43568,0.0,1627,True
128,155,49,36,34459,0.0,1258,False
129,155,69,60,59335,0.0,1784,True
130,155,74,65,111724,0.0,2458,False
131,155,61,52,63061,0.0,1579,True
132,155,82,71,173928,93.0,4059,True
133,155,73,63,120674,0.0,2705,False
134,155,76,59,80682,0.0,1715,True
135,155,84,74,217380,206.0,5165,False
136,155,58,45,61085,0.0,2144,True
137,155,76,65,187570,0.0,4479,False
138,155,74,70,210327,0.0,4787,False
139,155,41,26,20487,0.0,1100,True
140,155,66,60,137301,0.0,3200,True
141,155,44,33,21615,0.0,841,False
142,155,36,22,12969,0.0,645,False
143,155,72,66,147786,0.0,3519,False
144,155,81,73,198692,69.0,4449,False
145,155,57,50,82735,0.0,2162,False
146,155,60,53,100886,0.0,2736,False
147,155,76,71,139257,0.0,3119,True
148,155,97,87,149347,446.0,3287,False
149,155,80,73,256875,95.0,5341,False
150,155,78,68,149302,3.0,3636,False
151,155,82,72,149466,84.0,3629,False
152,155,83,72,187315,116.0,4751,True
153,155,86,72,127217,132.0,2572,False
154,155,60,50,94086,0.0,2608,True
155,155,94,82,144602,553.0,2548,True
156,155,69,62,121150,0.0,2950,False
157,155,72,51,92575,0.0,2813,True
158,155,48,32,38314,0.0,1783,False
159,155,45,25,24434,0.0,1229,True
160,155,85,67,127812,40.0,2616,True
161,155,52,43,53787,0.0,1807,False
162,155,80,66,107328,11.0,2641,True
163,155,74,66,154508,0.0,3574,False
164,155,72,62,125370,0.0,3556,True
165,155,95,79,143759,361.0,3183,True
166,155,92,82,222999,539.0,4191,True
167,155,60,51,80769,0.0,2515,False
168,155,78,68,163378,7.0,3681,False
169,155,45,39,55781,0.0,1988,False
170,155,60,50,99859,0.0,2904,False
171,155,82,67,146494,42.0,3462,False
172,155,77,48,37828,0.0,933,True
173,155,75,62,134271,0.0,3348,True
174,155,68,62,95391,0.0,2348,True
175,155,76,63,186689,0.0,4863,True
176,155,69,61,105852,0.0,2525,False
177,155,32,18,12952,0.0,847,True
178,155,78,56,92661,1.0,2292,True
179,155,55,44,66802,0.0,2048,True
180,155,89,76,162623,229.0,3412,True
181,155,85,64,66816,74.0,1587,False
182,155,55,40,42233,0.0,1405,False
183,155,72,67,186261,0.0,4559,False
184,155,78,65,122929,1.0,2846,False
185,155,89,71,88649,95.0,2542,True
186,155,68,63,129841,0.0,3294,False
187,155,64,50,91560,0.0,2555,False
188,155,78,55,67704,6.0,2012,True
189,155,52,48,97135,0.0,2881,True
190,155,59,43,45281,0.0,1442,False
191,155,83,60,150805,11.0,3569,True
192,155,83,71,110151,115.0,2266,False
193,155,68,59,130288,0.0,3253,False
194,155,60,51,99624,0.0,2817,True
195,155,51,38,50735,0.0,1827,False
196,155,72,64,168187,0.0,3996,True
197,155,73,60,131589,0.0,3278,False
198,155,59,52,107194,0.0,2859,False
199,155,61,53,81847,0.0,2195,True
200,155,54,47,44798,0.0,1436,True
201,155,90,79,175302,377.0,3361,True
202,155,72,60,97212,0.0,2315,False
203,155,70,57,89516,0.0,2566,True
204,155,36,22,19075,0.0,1075,True
205,155,52,31,31109,0.0,1321,False
206,155,51,30,23456,0.0,1014,True
207,155,82,61,59206,16.0,1648,False
208,155,86,76,166140,262.0,3792,False
209,155,49,43,64347,0.0,2277,True
210,155,78,65,175646,1.0,4276,False
211,155,74,60,80218,0.0,2226,True
212,155,74,68,184720,0.0,3922,False
213,155,58,42,57168,0.0,2061,False
214,155,60,53,110210,0.0,3078,False
215,155,58,49,66672,0.0,2127,False
216,155,50,43,60356,0.0,2100,False
217,155,44,32,21984,0.0,869,False
218,155,68,57,111312,0.0,3229,False
219,155,63,49,77278,0.0,2230,False
220,155,75,57,117937,0.0,3424,True
221,155,74,66,161557,0.0,3529,True
222,155,53,39,30490,0.0,960,True
223,155,82,71,159632,134.0,3647,False
224,155,71,61,148030,0.0,3417,False
225,155,79,70,206134,20.0,4587,False
226,155,51,42,69628,0.0,2516,False
227,155,57,40,52898,0.0,1743,True
228,155,61,49,73827,0.0,2404,False
229,155,53,48,74986,0.0,2407,True
230,155,66,51,90740,0.0,2745,True
231,155,70,60,132171,0.0,3297,True
232,155,65,52,91751,0.0,2483,False
233,155,50,35,16748,0.0,503,True
234,155,76,63,157749,0.0,3812,False
235,155,70,65,200621,0.0,4952,False
236,155,94,84,169918,589.0,2759,True
237,155,76,67,162397,0.0,4199,False
238,155,70,65,176056,0.0,4058,True
239,155,72,55,75085,0.0,2229,True
240,155,74,67,168746,0.0,3813,True
241,155,77,67,227126,0.0,5159,True
242,155,50,40,54958,0.0,2070,True
243,155,79,70,154118,58.0,3446,False
244,155,81,72,149604,65.0,3238,True
245,155,77,68,156762,0.0,3538,False
246,155,56,50,70781,0.0,2145,True
247,155,85,69,138051,63.0,3178,True
248,155,65,56,87193,0.0,2195,True
249,155,49,41,58817,0.0,1982,False
250,155,61,51,73791,0.0,2193,False
251,155,56,49,82921,0.0,2396,False
252,155,80,74,204242,42.0,4423,False
253,155,51,42,43881,0.0,1488,True
254,155,78,69,156606,3.0,3573,True
255,155,85,71,163612,89.0,3663,True
256,155,73,58,172673,0.0,4319,True
257,155,69,56,82023,0.0,2309,True
258,155,63,58,122734,0.0,3090,False
259,155,68,57,119314,0.0,3124,False
260,155,48,43,49924,0.0,1729,True
261,155,80,74,248267,91.0,5330,False
262,155,57,48,64107,0.0,1868,False
263,155,41,34,30441,0.0,1182,False
264,155,33,29,25624,0.0,1053,False
265,155,56,48,61746,0.0,1729,False
266,155,49,42,53274,0.0,1798,True
267,155,53,49,79625,0.0,2529,False
268,155,27,23,18890,0.0,1045,True
269,155,44,36,35439,0.0,1233,False
270,155,81,70,148380,21.0,3552,False
271,155,62,47,51173,0.0,1424,False
272,155,78,64,195433,1.0,4864,True
273,155,84,72,230882,109.0,5777,False
274,155,81,69,190251,43.0,4113,False
275,155,44,37,34700,0.0,1343,False
276,155,56,43,56512,0.0,1883,True
277,155,70,38,30073,0.0,847,False
278,155,72,60,107864,0.0,2629,False
279,155,82,67,162703,19.0,3321,False
280,155,50,37,39237,0.0,1428,False
281,155,82,74,143067,135.0,3112,True
282,155,65,57,85121,0.0,2212,True
283,155,57,48,46436,0.0,1461,True
284,155,79,69,196181,36.0,4461,False
285,155,65,53,113289,0.0,3117,False
286,155,60,36,23844,0.0,770,True
287,155,49,37,49010,0.0,1860,True
288,155,56,42,77001,0.0,2469,True
289,155,81,74,191547,61.0,3859,True
290,155,85,76,220284,161.0,4941,False
291,155,91,82,218263,587.0,4394,False
292,155,57,44,77020,0.0,2714,True
293,155,91,80,298075,411.0,6444,True
294,155,59,52,82814,0.0,2577,False
295,155,39,31,25293,0.0,1022,True
296,155,65,58,162105,0.0,3997,True
297,155,77,64,74866,0.0,1822,True
298,155,56,42,45690,0.0,1620,False
299,155,67,58,111018,0.0,2903,False
300,155,74,57,95449,0.0,2489,False
301,155,84,77,173216,252.0,3647,False
302,155,73,63,115617,0.0,2839,False
303,155,58,43,35851,0.0,1117,False
304,155,45,35,31170,0.0,1280,True
305,155,69,58,125421,0.0,3470,False
306,155,82,67,180724,19.0,4333,False
307,155,78,68,147787,2.0,3578,False
308,155,76,69,202427,0.0,4970,False
309,155,73,66,157275,0.0,4336,False
310,155,76,69,175367,0.0,4354,False
311,155,39,31,30323,0.0,1316,False
312,155,85,70,158539,70.0,4073,True
313,155,75,66,171033,0.0,3702,True
314,155,52,33,27311,0.0,946,False
315,155,44,37,34226,0.0,1223,False
316,155,84,65,231951,33.0,6212,False
317,155,42,31,20725,0.0,787,False
318,155,82,71,212186,30.0,5009,False
319,155,58,48,116994,0.0,3114,True
320,155,73,40,37466,0.0,1202,False
321,155,57,49,65338,0.0,1723,True
322,155,57,50,87527,0.0,2549,False
323,155,75,68,232098,0.0,5258,False
324,155,66,54,68293,0.0,2026,False
325,155,35,27,17082,0.0,753,True
326,155,78,72,125353,13.0,2855,True
327,155,70,65,183843,0.0,4185,True
328,155,102,95,361783,1438.0,6426,True
329,155,65,50,62935,0.0,2221,True
330,155,54,46,53625,0.0,1658,False
331,155,44,33,49858,0.0,2072,False
332,155,50,43,56445,0.0,1790,False
333,155,77,69,188686,0.0,4070,False
334,155,67,57,151508,0.0,3696,False
335,155,78,72,136334,36.0,2885,False
336,155,78,67,105016,4.0,2326,False
337,155,81,65,111967,18.0,2395,True
338,155,68,61,138460,0.0,3837,False
339,155,80,69,147383,28.0,3361,False
340,155,62,50,77740,0.0,2431,True
341,155,29,20,12470,0.0,651,True
342,155,74,64,150203,0.0,4021,False
343,155,67,62,157400,0.0,3862,False
344,155,52,45,79098,0.0,2571,False
345,155,82,66,95788,66.0,3113,False
346,155,70,49,78584,0.0,2109,True
347,155,65,60,111614,0.0,2909,True
348,155,64,54,85112,0.0,2236,True
349,155,60,55,173793,0.0,5051,False
350,155,83,74,107675,110.0,2076,False
351,155,68,61,98996,0.0,2578,True
352,155,57,47,51790,0.0,1472,True
353,155,50,40,46538,0.0,1769,False
354,155,75,66,170299,0.0,3945,True
355,155,68,62,138024,0.0,3139,False
356,155,54,47,42643,0.0,1186,True
357,155,45,38,59365,0.0,2353,False
358,155,78,64,107935,3.0,2515,False
359,155,69,56,84845,0.0,2256,False
360,155,51,45,98512,0.0,3331,True
361,155,63,54,78549,0.0,2136,True
362,155,75,70,158381,0.0,3516,False
363,155,67,59,120394,0.0,2800,True
364,155,72,64,98011,0.0,2409,False
365,155,71,60,147861,0.0,3972,False
366,155,44,36,46230,0.0,1863,False
367,155,82,62,126642,16.0,3281,False
368,155,66,57,83463,0.0,2475,True
369,155,102,95,224832,1278.0,4167,True
