h5_relative_path,volume,slice_index,label0_pxl_cnt,label1_pxl_cnt,label2_pxl_cnt,whole_tumor_pixels,has_tumor,eligible_br_lora_slice,image_channel,image_channel_index,label_rule,image_role,source_cohort,downstream_split,common_real_training,is_synthetic_library_donor
volume_1_slice_31.h5,1,31,0,83,0,83,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_32.h5,1,32,0,201,0,201,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_33.h5,1,33,0,262,0,262,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_39.h5,1,39,0,586,47,633,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_41.h5,1,41,42,589,116,747,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_42.h5,1,42,74,712,161,947,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_43.h5,1,43,154,687,184,1025,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_44.h5,1,44,233,665,223,1121,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_45.h5,1,45,248,665,241,1154,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_46.h5,1,46,288,633,281,1202,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_47.h5,1,47,312,690,355,1357,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_48.h5,1,48,294,879,476,1649,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_49.h5,1,49,315,1111,548,1974,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_51.h5,1,51,381,968,891,2240,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_52.h5,1,52,368,955,1005,2328,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_54.h5,1,54,391,1335,1133,2859,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_56.h5,1,56,494,1439,1137,3070,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_58.h5,1,58,618,1563,1091,3272,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_60.h5,1,60,766,2215,925,3906,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_62.h5,1,62,758,2508,920,4186,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_63.h5,1,63,743,2625,912,4280,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_64.h5,1,64,749,2974,865,4588,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_65.h5,1,65,714,3274,857,4845,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_66.h5,1,66,680,3496,854,5030,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_67.h5,1,67,634,3568,846,5048,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_68.h5,1,68,566,3647,827,5040,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_70.h5,1,70,461,3797,759,5017,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_73.h5,1,73,287,3843,631,4761,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_75.h5,1,75,143,3875,534,4552,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_76.h5,1,76,33,3903,564,4500,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_77.h5,1,77,2,3924,502,4428,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_78.h5,1,78,0,4056,397,4453,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_80.h5,1,80,0,4018,199,4217,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_81.h5,1,81,0,4142,67,4209,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_84.h5,1,84,0,4183,0,4183,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_86.h5,1,86,0,3832,0,3832,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_88.h5,1,88,0,3765,0,3765,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_90.h5,1,90,0,3764,0,3764,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_91.h5,1,91,0,3535,0,3535,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_92.h5,1,92,0,3257,0,3257,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_94.h5,1,94,0,3008,0,3008,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_96.h5,1,96,0,2290,0,2290,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_101.h5,1,101,0,1397,0,1397,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_102.h5,1,102,0,1211,0,1211,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_103.h5,1,103,0,1055,0,1055,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_104.h5,1,104,0,966,0,966,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_107.h5,1,107,0,647,0,647,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_109.h5,1,109,0,141,0,141,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_110.h5,1,110,0,89,0,89,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_111.h5,1,111,0,48,0,48,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_112.h5,1,112,0,14,0,14,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_113.h5,1,113,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_114.h5,1,114,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_115.h5,1,115,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_116.h5,1,116,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_117.h5,1,117,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_118.h5,1,118,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_119.h5,1,119,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_120.h5,1,120,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_121.h5,1,121,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_122.h5,1,122,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_123.h5,1,123,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_124.h5,1,124,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_125.h5,1,125,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_126.h5,1,126,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_127.h5,1,127,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_128.h5,1,128,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_129.h5,1,129,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_130.h5,1,130,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_131.h5,1,131,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_132.h5,1,132,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_133.h5,1,133,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_134.h5,1,134,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_135.h5,1,135,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_136.h5,1,136,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_137.h5,1,137,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_138.h5,1,138,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_139.h5,1,139,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_140.h5,1,140,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_141.h5,1,141,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_142.h5,1,142,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_143.h5,1,143,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_144.h5,1,144,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_145.h5,1,145,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_146.h5,1,146,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_147.h5,1,147,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_148.h5,1,148,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_149.h5,1,149,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_150.h5,1,150,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_151.h5,1,151,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_152.h5,1,152,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_153.h5,1,153,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_1_slice_154.h5,1,154,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_0.h5,2,0,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_1.h5,2,1,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_2.h5,2,2,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_3.h5,2,3,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_4.h5,2,4,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_5.h5,2,5,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_6.h5,2,6,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_7.h5,2,7,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_8.h5,2,8,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_9.h5,2,9,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_10.h5,2,10,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_11.h5,2,11,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_12.h5,2,12,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_13.h5,2,13,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_14.h5,2,14,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_15.h5,2,15,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_16.h5,2,16,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_17.h5,2,17,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_18.h5,2,18,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_19.h5,2,19,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_20.h5,2,20,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_21.h5,2,21,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_22.h5,2,22,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_23.h5,2,23,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_24.h5,2,24,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_25.h5,2,25,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_26.h5,2,26,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_27.h5,2,27,0,2,0,2,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_28.h5,2,28,0,29,0,29,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_29.h5,2,29,0,86,0,86,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_30.h5,2,30,0,109,0,109,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_31.h5,2,31,0,148,0,148,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_32.h5,2,32,0,228,0,228,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_41.h5,2,41,160,817,182,1159,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_45.h5,2,45,301,950,238,1489,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_47.h5,2,47,337,1205,211,1753,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_48.h5,2,48,365,1287,207,1859,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_49.h5,2,49,384,1372,206,1962,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_50.h5,2,50,416,1400,203,2019,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_51.h5,2,51,436,1414,207,2057,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_58.h5,2,58,441,1412,196,2049,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_59.h5,2,59,411,1401,206,2018,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_62.h5,2,62,312,1337,205,1854,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_64.h5,2,64,224,1391,211,1826,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_69.h5,2,69,2,1291,151,1444,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_73.h5,2,73,0,1152,0,1152,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_76.h5,2,76,0,768,0,768,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_77.h5,2,77,0,575,0,575,True,True,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_79.h5,2,79,0,288,0,288,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_80.h5,2,80,0,143,0,143,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_81.h5,2,81,0,25,0,25,True,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_82.h5,2,82,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_83.h5,2,83,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_84.h5,2,84,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_85.h5,2,85,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_86.h5,2,86,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_87.h5,2,87,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_88.h5,2,88,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_89.h5,2,89,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_90.h5,2,90,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_91.h5,2,91,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_92.h5,2,92,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_93.h5,2,93,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_94.h5,2,94,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_95.h5,2,95,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_96.h5,2,96,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_97.h5,2,97,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_98.h5,2,98,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_99.h5,2,99,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_100.h5,2,100,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_101.h5,2,101,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_102.h5,2,102,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_103.h5,2,103,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_104.h5,2,104,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_105.h5,2,105,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_106.h5,2,106,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_107.h5,2,107,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_108.h5,2,108,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_109.h5,2,109,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_110.h5,2,110,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_111.h5,2,111,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
volume_2_slice_112.h5,2,112,0,0,0,0,False,False,FLAIR,0,max(mask_channels) > 0,real,BraTS2020_training,train,True,False
