library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
4751,synthetic_004751,batch_0020,planned,,BraTS20_Validation_058,58,57,flair,14365.0,16709.0,1.0,127,53,volume_127_slice_53.h5,1111,1111.0,1782.0,1.0,1.0,0.6676860154634711,0.6865841395855067,right,16472.0,BraTS20_Validation_058|slice_57|volume_127_slice_53.h5
4762,synthetic_004762,batch_0020,planned,,BraTS20_Validation_058,58,119,flair,8725.0,7807.0,1.0,154,114,volume_154_slice_114.h5,2239,2239.0,3956.0,1.0,1.0,0.4559211841807741,0.4194808277006509,midline,7624.0,BraTS20_Validation_058|slice_119|volume_154_slice_114.h5
4763,synthetic_004763,batch_0020,planned,,BraTS20_Validation_058,58,120,flair,8374.0,7041.0,1.0,146,90,volume_146_slice_90.h5,976,976.0,2622.0,1.0,1.0,0.5579472186020988,0.3873765347417518,right,6870.0,BraTS20_Validation_058|slice_120|volume_146_slice_90.h5
4764,synthetic_004764,batch_0020,planned,,BraTS20_Validation_058,58,121,flair,7957.0,6117.0,1.0,161,104,volume_161_slice_104.h5,1088,1088.0,1500.0,1.0,1.0,0.4121531196160472,0.4152488924440069,left,5954.0,BraTS20_Validation_058|slice_121|volume_161_slice_104.h5
4765,synthetic_004765,batch_0020,planned,,BraTS20_Validation_058,58,122,flair,7588.0,5257.0,1.0,157,120,volume_157_slice_120.h5,1528,1528.0,3870.0,4.0,0.5896596858638743,0.4564475673070604,0.407623934806896,midline,5109.0,BraTS20_Validation_058|slice_122|volume_157_slice_120.h5
4766,synthetic_004766,batch_0020,planned,,BraTS20_Validation_058,58,123,flair,7261.0,4528.0,1.0,140,101,volume_140_slice_101.h5,2843,2843.0,4641.0,1.0,1.0,0.4923316020998503,0.598027600639904,midline,4387.0,BraTS20_Validation_058|slice_123|volume_140_slice_101.h5
4767,synthetic_004767,batch_0020,planned,,BraTS20_Validation_058,58,124,flair,6877.0,3830.0,1.0,167,77,volume_167_slice_77.h5,1470,1470.0,2646.0,3.0,0.9965986394557824,0.4999629977514018,0.6112885321492614,midline,3704.0,BraTS20_Validation_058|slice_124|volume_167_slice_77.h5
4768,synthetic_004768,batch_0020,planned,,BraTS20_Validation_058,58,125,flair,6397.0,3259.0,1.0,99,49,volume_99_slice_49.h5,799,799.0,1590.0,3.0,0.7121401752190237,0.582202648708375,0.6216819141081162,right,3142.0,BraTS20_Validation_058|slice_125|volume_99_slice_49.h5
4769,synthetic_004769,batch_0020,planned,,BraTS20_Validation_058,58,127,flair,5590.0,2342.0,1.0,180,105,volume_180_slice_105.h5,703,703.0,1650.0,2.0,0.9957325746799432,0.6050280626365189,0.418683823660701,right,2246.0,BraTS20_Validation_058|slice_127|volume_180_slice_105.h5
4770,synthetic_004770,batch_0020,planned,,BraTS20_Validation_058,58,128,flair,5190.0,1976.0,1.0,140,126,volume_140_slice_126.h5,1865,1865.0,2880.0,1.0,1.0,0.5224965506410759,0.5686517774013707,midline,1889.0,BraTS20_Validation_058|slice_128|volume_140_slice_126.h5
4771,synthetic_004771,batch_0020,planned,,BraTS20_Validation_058,58,129,flair,4676.0,1581.0,1.0,98,127,volume_98_slice_127.h5,1399,1399.0,2211.0,1.0,1.0,0.4747114645547776,0.4409545371619298,midline,1506.0,BraTS20_Validation_058|slice_129|volume_98_slice_127.h5
4772,synthetic_004772,batch_0020,planned,,BraTS20_Validation_058,58,130,flair,4224.0,1233.0,1.0,260,60,volume_260_slice_60.h5,1677,1677.0,2300.0,1.0,1.0,0.5597088844145378,0.4404233501246248,right,1170.0,BraTS20_Validation_058|slice_130|volume_260_slice_60.h5
4773,synthetic_004773,batch_0020,planned,,BraTS20_Validation_058,58,131,flair,3658.0,886.0,1.0,156,94,volume_156_slice_94.h5,553,553.0,1612.0,1.0,1.0,0.5859026837258923,0.5818018113447381,right,832.0,BraTS20_Validation_058|slice_131|volume_156_slice_94.h5
4774,synthetic_004774,batch_0020,planned,,BraTS20_Validation_058,58,132,flair,3068.0,599.0,1.0,172,118,volume_172_slice_118.h5,715,715.0,1150.0,1.0,1.0,0.5971442783158265,0.5697808467682945,right,559.0,BraTS20_Validation_058|slice_132|volume_172_slice_118.h5
4775,synthetic_004775,batch_0020,planned,,BraTS20_Validation_059,59,10,flair,980.0,17.0,1.0,283,130,volume_283_slice_130.h5,532,532.0,945.0,1.0,1.0,0.6466558656054362,0.4565467014817378,right,12.0,BraTS20_Validation_059|slice_10|volume_283_slice_130.h5
4776,synthetic_004776,batch_0020,planned,,BraTS20_Validation_059,59,11,flair,1383.0,68.0,1.0,283,90,volume_283_slice_90.h5,548,548.0,850.0,1.0,1.0,0.6505436276456036,0.4040329230675258,right,59.0,BraTS20_Validation_059|slice_11|volume_283_slice_90.h5
4777,synthetic_004777,batch_0020,planned,,BraTS20_Validation_059,59,12,flair,1744.0,130.0,1.0,283,88,volume_283_slice_88.h5,526,526.0,806.0,1.0,1.0,0.6515901172502665,0.4041316002990916,right,116.0,BraTS20_Validation_059|slice_12|volume_283_slice_88.h5
4778,synthetic_004778,batch_0020,planned,,BraTS20_Validation_059,59,13,flair,2205.0,182.0,1.0,283,86,volume_283_slice_86.h5,480,480.0,784.0,1.0,1.0,0.6512377963737797,0.4057531380753137,right,167.0,BraTS20_Validation_059|slice_13|volume_283_slice_86.h5
4779,synthetic_004779,batch_0020,planned,,BraTS20_Validation_059,59,14,flair,2776.0,311.0,1.0,282,35,volume_282_slice_35.h5,328,328.0,522.0,2.0,0.9908536585365854,0.4477370139810185,0.3732013470762322,left,290.0,BraTS20_Validation_059|slice_14|volume_282_slice_35.h5
4780,synthetic_004780,batch_0020,planned,,BraTS20_Validation_059,59,15,flair,3228.0,492.0,1.0,200,81,volume_200_slice_81.h5,309,309.0,396.0,1.0,1.0,0.4372046417787166,0.3455064928030764,left,460.0,BraTS20_Validation_059|slice_15|volume_200_slice_81.h5
4781,synthetic_004781,batch_0020,planned,,BraTS20_Validation_059,59,16,flair,3641.0,690.0,1.0,43,40,volume_43_slice_40.h5,463,463.0,1386.0,4.0,0.9654427645788336,0.4133764696313834,0.3716348717207226,left,645.0,BraTS20_Validation_059|slice_16|volume_43_slice_40.h5
4782,synthetic_004782,batch_0020,planned,,BraTS20_Validation_059,59,88,flair,17505.0,17821.0,2.0,149,94,volume_149_slice_94.h5,2761,2761.0,5782.0,1.0,1.0,0.5644186282636665,0.6005131243758326,right,17573.0,BraTS20_Validation_059|slice_88|volume_149_slice_94.h5
4783,synthetic_004783,batch_0020,planned,,BraTS20_Validation_059,59,88,flair,17505.0,17821.0,1.0,317,81,volume_317_slice_81.h5,733,733.0,1122.0,1.0,1.0,0.6652719665271967,0.7083630634693213,right,17573.0,BraTS20_Validation_059|slice_88|volume_317_slice_81.h5
4784,synthetic_004784,batch_0020,planned,,BraTS20_Validation_059,59,89,flair,17330.0,17798.0,2.0,40,80,volume_40_slice_80.h5,2084,2084.0,4392.0,4.0,0.9923224568138196,0.28968470675158,0.5689613633260787,left,17550.0,BraTS20_Validation_059|slice_89|volume_40_slice_80.h5
4785,synthetic_004785,batch_0020,planned,,BraTS20_Validation_059,59,89,flair,17330.0,17798.0,1.0,163,74,volume_163_slice_74.h5,2190,2190.0,3528.0,1.0,1.0,0.4326665520337784,0.6338014176267172,left,17550.0,BraTS20_Validation_059|slice_89|volume_163_slice_74.h5
4786,synthetic_004786,batch_0020,planned,,BraTS20_Validation_059,59,90,flair,17119.0,17783.0,1.0,40,50,volume_40_slice_50.h5,4496,4496.0,7470.0,3.0,0.9977758007117438,0.3000035363838056,0.5178875876650934,left,17535.0,BraTS20_Validation_059|slice_90|volume_40_slice_50.h5
4787,synthetic_004787,batch_0020,planned,,BraTS20_Validation_059,59,90,flair,17119.0,17783.0,2.0,154,103,volume_154_slice_103.h5,2569,2569.0,4488.0,1.0,1.0,0.4526743877353251,0.4032241514940772,midline,17535.0,BraTS20_Validation_059|slice_90|volume_154_slice_103.h5
4788,synthetic_004788,batch_0020,planned,,BraTS20_Validation_059,59,91,flair,16928.0,17768.0,1.0,40,46,volume_40_slice_46.h5,3375,3375.0,6622.0,7.0,0.9893333333333332,0.3006874322020765,0.5126607779327444,left,17520.0,BraTS20_Validation_059|slice_91|volume_40_slice_46.h5
4789,synthetic_004789,batch_0020,planned,,BraTS20_Validation_059,59,91,flair,16928.0,17768.0,2.0,258,61,volume_258_slice_61.h5,1503,1503.0,3422.0,5.0,0.9161676646706588,0.3684068404334984,0.4570162325279706,left,17520.0,BraTS20_Validation_059|slice_91|volume_258_slice_61.h5
4790,synthetic_004790,batch_0020,planned,,BraTS20_Validation_059,59,92,flair,16748.0,17755.0,1.0,137,81,volume_137_slice_81.h5,3351,3351.0,5529.0,2.0,0.9997015816174276,0.6356548785162488,0.3596328579865624,right,17507.0,BraTS20_Validation_059|slice_92|volume_137_slice_81.h5
4791,synthetic_004791,batch_0020,planned,,BraTS20_Validation_059,59,92,flair,16748.0,17755.0,2.0,159,94,volume_159_slice_94.h5,1123,1123.0,1681.0,1.0,1.0,0.5918024419050884,0.3360507010137967,right,17507.0,BraTS20_Validation_059|slice_92|volume_159_slice_94.h5
4792,synthetic_004792,batch_0020,planned,,BraTS20_Validation_059,59,93,flair,16521.0,17729.0,2.0,130,49,volume_130_slice_49.h5,1783,1783.0,3198.0,1.0,1.0,0.4899034817441339,0.3268010053104987,midline,17481.0,BraTS20_Validation_059|slice_93|volume_130_slice_49.h5
4793,synthetic_004793,batch_0020,planned,,BraTS20_Validation_059,59,93,flair,16521.0,17729.0,1.0,152,74,volume_152_slice_74.h5,1998,1998.0,4514.0,2.0,0.9954954954954957,0.3967314594929657,0.4389745393929494,left,17481.0,BraTS20_Validation_059|slice_93|volume_152_slice_74.h5
4794,synthetic_004794,batch_0020,planned,,BraTS20_Validation_059,59,94,flair,16292.0,17680.0,2.0,128,85,volume_128_slice_85.h5,1239,1239.0,2090.0,1.0,1.0,0.3534467329233658,0.6634315026627629,left,17433.0,BraTS20_Validation_059|slice_94|volume_128_slice_85.h5
4795,synthetic_004795,batch_0020,planned,,BraTS20_Validation_059,59,94,flair,16292.0,17680.0,1.0,130,83,volume_130_slice_83.h5,1917,1917.0,4000.0,2.0,0.9963484611371936,0.5627625975908137,0.3503534768193853,right,17433.0,BraTS20_Validation_059|slice_94|volume_130_slice_83.h5
4796,synthetic_004796,batch_0020,planned,,BraTS20_Validation_059,59,95,flair,15989.0,17593.0,2.0,77,65,volume_77_slice_65.h5,1634,1634.0,2880.0,2.0,0.9944920440636474,0.5139401729974444,0.6715737236445205,midline,17347.0,BraTS20_Validation_059|slice_95|volume_77_slice_65.h5
4797,synthetic_004797,batch_0020,planned,,BraTS20_Validation_059,59,95,flair,15989.0,17593.0,1.0,151,93,volume_151_slice_93.h5,3492,3492.0,6528.0,2.0,0.9988545246277204,0.3792422129242213,0.6076315499384127,left,17347.0,BraTS20_Validation_059|slice_95|volume_151_slice_93.h5
4798,synthetic_004798,batch_0020,planned,,BraTS20_Validation_059,59,96,flair,15739.0,17527.0,2.0,137,70,volume_137_slice_70.h5,4229,4229.0,6195.0,1.0,1.0,0.6376751084116348,0.3569901388203191,right,17281.0,BraTS20_Validation_059|slice_96|volume_137_slice_70.h5
4799,synthetic_004799,batch_0020,planned,,BraTS20_Validation_059,59,96,flair,15739.0,17527.0,1.0,317,86,volume_317_slice_86.h5,602,602.0,992.0,1.0,1.0,0.6671902584133781,0.7095872892311542,right,17281.0,BraTS20_Validation_059|slice_96|volume_317_slice_86.h5
4800,synthetic_004800,batch_0020,planned,,BraTS20_Validation_059,59,97,flair,15510.0,17443.0,2.0,145,64,volume_145_slice_64.h5,1978,1978.0,3283.0,1.0,1.0,0.5117357882312128,0.6841681086089242,midline,17199.0,BraTS20_Validation_059|slice_97|volume_145_slice_64.h5
4801,synthetic_004801,batch_0020,planned,,BraTS20_Validation_059,59,97,flair,15510.0,17443.0,1.0,146,51,volume_146_slice_51.h5,1844,1844.0,3256.0,2.0,0.9956616052060736,0.541793354450485,0.3108850143856815,midline,17199.0,BraTS20_Validation_059|slice_97|volume_146_slice_51.h5
4802,synthetic_004802,batch_0020,planned,,BraTS20_Validation_059,59,98,flair,15223.0,17320.0,2.0,87,63,volume_87_slice_63.h5,893,893.0,1782.0,2.0,0.9899216125419932,0.6731388249846553,0.7116906483247198,right,17077.0,BraTS20_Validation_059|slice_98|volume_87_slice_63.h5
4803,synthetic_004803,batch_0020,planned,,BraTS20_Validation_059,59,98,flair,15223.0,17320.0,1.0,148,69,volume_148_slice_69.h5,2804,2804.0,6552.0,3.0,0.9846647646219686,0.5876094521275643,0.6819203289980243,right,17077.0,BraTS20_Validation_059|slice_98|volume_148_slice_69.h5
4804,synthetic_004804,batch_0020,planned,,BraTS20_Validation_059,59,99,flair,14916.0,17202.0,1.0,143,61,volume_143_slice_61.h5,1768,1768.0,2640.0,3.0,0.998868778280543,0.3962210568166758,0.6094397849258789,left,16959.0,BraTS20_Validation_059|slice_99|volume_143_slice_61.h5
4805,synthetic_004805,batch_0020,planned,,BraTS20_Validation_059,59,99,flair,14916.0,17202.0,2.0,148,74,volume_148_slice_74.h5,2886,2886.0,6944.0,5.0,0.8184338184338185,0.5480403158227426,0.6638598688807894,midline,16959.0,BraTS20_Validation_059|slice_99|volume_148_slice_74.h5
4806,synthetic_004806,batch_0020,planned,,BraTS20_Validation_059,59,100,flair,14615.0,17028.0,1.0,122,76,volume_122_slice_76.h5,444,444.0,754.0,3.0,0.7995495495495496,0.5795732971465188,0.7204097402842172,right,16785.0,BraTS20_Validation_059|slice_100|volume_122_slice_76.h5
4807,synthetic_004807,batch_0020,planned,,BraTS20_Validation_059,59,100,flair,14615.0,17028.0,2.0,143,59,volume_143_slice_59.h5,1342,1342.0,1880.0,2.0,0.9992548435171386,0.4038904027586379,0.6108942501356247,left,16785.0,BraTS20_Validation_059|slice_100|volume_143_slice_59.h5
4808,synthetic_004808,batch_0020,planned,,BraTS20_Validation_059,59,101,flair,14247.0,16780.0,2.0,143,73,volume_143_slice_73.h5,3395,3395.0,4623.0,1.0,1.0,0.3761031790536168,0.6044231918708907,left,16538.0,BraTS20_Validation_059|slice_101|volume_143_slice_73.h5
4809,synthetic_004809,batch_0020,planned,,BraTS20_Validation_059,59,101,flair,14247.0,16780.0,1.0,252,106,volume_252_slice_106.h5,2456,2456.0,3724.0,1.0,1.0,0.3818042740517629,0.599517192972892,left,16538.0,BraTS20_Validation_059|slice_101|volume_252_slice_106.h5
4810,synthetic_004810,batch_0020,planned,,BraTS20_Validation_059,59,102,flair,13925.0,16617.0,2.0,286,78,volume_286_slice_78.h5,656,656.0,891.0,1.0,1.0,0.3083031431778753,0.5569700989896929,left,16375.0,BraTS20_Validation_059|slice_102|volume_286_slice_78.h5
4811,synthetic_004811,batch_0020,planned,,BraTS20_Validation_059,59,102,flair,13925.0,16617.0,1.0,327,94,volume_327_slice_94.h5,3696,3696.0,5100.0,1.0,1.0,0.3595711297071129,0.3823889673785071,left,16375.0,BraTS20_Validation_059|slice_102|volume_327_slice_94.h5
4812,synthetic_004812,batch_0020,planned,,BraTS20_Validation_059,59,103,flair,13619.0,16407.0,2.0,148,51,volume_148_slice_51.h5,2388,2388.0,7215.0,3.0,0.9593802345058626,0.5942543961088567,0.6864342633670445,right,16167.0,BraTS20_Validation_059|slice_103|volume_148_slice_51.h5
4813,synthetic_004813,batch_0020,planned,,BraTS20_Validation_059,59,103,flair,13619.0,16407.0,1.0,148,102,volume_148_slice_102.h5,1241,1241.0,2160.0,1.0,1.0,0.3585244724358477,0.5629047973863702,left,16167.0,BraTS20_Validation_059|slice_103|volume_148_slice_102.h5
4814,synthetic_004814,batch_0020,planned,,BraTS20_Validation_059,59,104,flair,13284.0,16176.0,1.0,150,62,volume_150_slice_62.h5,2447,2447.0,4209.0,4.0,0.9644462607274212,0.5062470825004746,0.6235643337499766,midline,15937.0,BraTS20_Validation_059|slice_104|volume_150_slice_62.h5
4815,synthetic_004815,batch_0020,planned,,BraTS20_Validation_059,59,104,flair,13284.0,16176.0,2.0,163,77,volume_163_slice_77.h5,2578,2578.0,3850.0,1.0,1.0,0.4245725822943412,0.631516760746711,left,15937.0,BraTS20_Validation_059|slice_104|volume_163_slice_77.h5
4816,synthetic_004816,batch_0020,planned,,BraTS20_Validation_059,59,105,flair,12863.0,15809.0,2.0,89,71,volume_89_slice_71.h5,1605,1605.0,9078.0,3.0,0.7214953271028037,0.5454163896818259,0.3985088439630339,midline,15571.0,BraTS20_Validation_059|slice_105|volume_89_slice_71.h5
4817,synthetic_004817,batch_0020,planned,,BraTS20_Validation_059,59,105,flair,12863.0,15809.0,1.0,354,87,volume_354_slice_87.h5,3019,3019.0,5796.0,3.0,0.9794633984763168,0.5869992141818691,0.3602650438436623,right,15571.0,BraTS20_Validation_059|slice_105|volume_354_slice_87.h5
4818,synthetic_004818,batch_0020,planned,,BraTS20_Validation_059,59,106,flair,12494.0,15319.0,2.0,138,111,volume_138_slice_111.h5,1656,1656.0,3520.0,5.0,0.9516908212560388,0.4526610474400178,0.4170860873607826,midline,15086.0,BraTS20_Validation_059|slice_106|volume_138_slice_111.h5
4819,synthetic_004819,batch_0020,planned,,BraTS20_Validation_059,59,106,flair,12494.0,15319.0,1.0,148,75,volume_148_slice_75.h5,2798,2798.0,7168.0,2.0,0.7716225875625446,0.5371559482116635,0.6601562383172679,midline,15086.0,BraTS20_Validation_059|slice_106|volume_148_slice_75.h5
4820,synthetic_004820,batch_0020,planned,,BraTS20_Validation_059,59,107,flair,12028.0,14654.0,1.0,126,79,volume_126_slice_79.h5,903,903.0,1598.0,4.0,0.973421926910299,0.4951324501776968,0.3075244304202171,midline,14423.0,BraTS20_Validation_059|slice_107|volume_126_slice_79.h5
4821,synthetic_004821,batch_0020,planned,,BraTS20_Validation_059,59,107,flair,12028.0,14654.0,2.0,171,120,volume_171_slice_120.h5,1542,1542.0,2640.0,2.0,0.9993514915693904,0.4650646609033532,0.4378761484568755,midline,14423.0,BraTS20_Validation_059|slice_107|volume_171_slice_120.h5
4822,synthetic_004822,batch_0020,planned,,BraTS20_Validation_059,59,108,flair,11536.0,13873.0,1.0,147,98,volume_147_slice_98.h5,2031,2031.0,2867.0,2.0,0.999507631708518,0.4544888949319028,0.6035240384912517,midline,13646.0,BraTS20_Validation_059|slice_108|volume_147_slice_98.h5
4823,synthetic_004823,batch_0020,planned,,BraTS20_Validation_059,59,108,flair,11536.0,13873.0,2.0,148,112,volume_148_slice_112.h5,885,885.0,2183.0,2.0,0.9593220338983052,0.3716001229227241,0.5482306219417062,left,13646.0,BraTS20_Validation_059|slice_108|volume_148_slice_112.h5
4824,synthetic_004824,batch_0020,planned,,BraTS20_Validation_059,59,109,flair,11063.0,13063.0,1.0,130,48,volume_130_slice_48.h5,1643,1643.0,3116.0,2.0,0.9933049300060864,0.4834507750644932,0.3276178640460226,midline,12847.0,BraTS20_Validation_059|slice_109|volume_130_slice_48.h5
4825,synthetic_004825,batch_0020,planned,,BraTS20_Validation_059,59,109,flair,11063.0,13063.0,2.0,156,55,volume_156_slice_55.h5,2475,2475.0,4675.0,3.0,0.9381818181818182,0.5046211064621107,0.6381116605384388,midline,12847.0,BraTS20_Validation_059|slice_109|volume_156_slice_55.h5
4826,synthetic_004826,batch_0020,planned,,BraTS20_Validation_059,59,110,flair,10493.0,11990.0,1.0,147,60,volume_147_slice_60.h5,1653,1653.0,2430.0,1.0,1.0,0.5101387865855666,0.6314675738545613,midline,11789.0,BraTS20_Validation_059|slice_110|volume_147_slice_60.h5
4827,synthetic_004827,batch_0020,planned,,BraTS20_Validation_059,59,110,flair,10493.0,11990.0,2.0,167,73,volume_167_slice_73.h5,1868,1868.0,3348.0,5.0,0.981798715203426,0.5023518765735174,0.6036886384202558,midline,11789.0,BraTS20_Validation_059|slice_110|volume_167_slice_73.h5
4828,synthetic_004828,batch_0020,planned,,BraTS20_Validation_059,59,111,flair,9922.0,10825.0,2.0,126,103,volume_126_slice_103.h5,478,478.0,805.0,1.0,1.0,0.5017769296756008,0.3184643125995693,midline,10638.0,BraTS20_Validation_059|slice_111|volume_126_slice_103.h5
4829,synthetic_004829,batch_0020,planned,,BraTS20_Validation_059,59,111,flair,9922.0,10825.0,1.0,166,45,volume_166_slice_45.h5,1011,1011.0,1634.0,1.0,1.0,0.4473511043790273,0.3639836277930215,left,10638.0,BraTS20_Validation_059|slice_111|volume_166_slice_45.h5
4830,synthetic_004830,batch_0020,planned,,BraTS20_Validation_059,59,112,flair,9409.0,9672.0,2.0,147,63,volume_147_slice_63.h5,2110,2110.0,3100.0,2.0,0.9976303317535544,0.5010747784013166,0.6230145352872355,midline,9497.0,BraTS20_Validation_059|slice_112|volume_147_slice_63.h5
4831,synthetic_004831,batch_0020,planned,,BraTS20_Validation_059,59,112,flair,9409.0,9672.0,1.0,157,94,volume_157_slice_94.h5,2588,2588.0,5418.0,2.0,0.9791344667697064,0.4760093253057239,0.4312711387608078,midline,9497.0,BraTS20_Validation_059|slice_112|volume_157_slice_94.h5
4832,synthetic_004832,batch_0020,planned,,BraTS20_Validation_059,59,113,flair,8887.0,8477.0,1.0,154,108,volume_154_slice_108.h5,2577,2577.0,4590.0,2.0,0.96662786185487,0.4549644992799191,0.4098453814967616,midline,8318.0,BraTS20_Validation_059|slice_113|volume_154_slice_108.h5
4833,synthetic_004833,batch_0020,planned,,BraTS20_Validation_059,59,113,flair,8887.0,8477.0,2.0,157,89,volume_157_slice_89.h5,1480,1480.0,5046.0,5.0,0.7439189189189189,0.4928276602962795,0.4430001130837951,midline,8318.0,BraTS20_Validation_059|slice_113|volume_157_slice_89.h5
4834,synthetic_004834,batch_0020,planned,,BraTS20_Validation_059,59,114,flair,8306.0,7249.0,1.0,165,42,volume_165_slice_42.h5,1199,1199.0,2166.0,2.0,0.9891576313594662,0.4921430341183901,0.637707154846612,midline,7099.0,BraTS20_Validation_059|slice_114|volume_165_slice_42.h5
4835,synthetic_004835,batch_0020,planned,,BraTS20_Validation_059,59,114,flair,8306.0,7249.0,2.0,185,96,volume_185_slice_96.h5,809,809.0,1462.0,3.0,0.9839307787391842,0.3950742432157061,0.6032965953111181,left,7099.0,BraTS20_Validation_059|slice_114|volume_185_slice_96.h5
4836,synthetic_004836,batch_0020,planned,,BraTS20_Validation_059,59,115,flair,7839.0,6249.0,2.0,147,73,volume_147_slice_73.h5,3059,3059.0,4275.0,2.0,0.9996730957829356,0.4773936843199503,0.6090458089921912,midline,6112.0,BraTS20_Validation_059|slice_115|volume_147_slice_73.h5
4837,synthetic_004837,batch_0020,planned,,BraTS20_Validation_059,59,115,flair,7839.0,6249.0,1.0,147,81,volume_147_slice_81.h5,2960,2960.0,4366.0,2.0,0.9996621621621622,0.4605478909872215,0.6025302499151871,midline,6112.0,BraTS20_Validation_059|slice_115|volume_147_slice_81.h5
4838,synthetic_004838,batch_0020,planned,,BraTS20_Validation_059,59,116,flair,7301.0,5235.0,2.0,151,125,volume_151_slice_125.h5,456,456.0,690.0,1.0,1.0,0.4002147104162079,0.5405655876091904,left,5105.0,BraTS20_Validation_059|slice_116|volume_151_slice_125.h5
4839,synthetic_004839,batch_0020,planned,,BraTS20_Validation_059,59,117,flair,6726.0,4280.0,1.0,161,79,volume_161_slice_79.h5,1217,1217.0,1748.0,2.0,0.9975349219391948,0.4186232006133472,0.4312992714783248,left,4163.0,BraTS20_Validation_059|slice_117|volume_161_slice_79.h5
